Placement ID,Candidate ID,Job ID,Client ID,Job Title,Contract Type,Placement Date,Start Date,End Date,Expected Duration,Salary/Rate,Salary Type,Fee Amount (£),Fee Percentage,Invoice Date,Payment Status,Rebate Period Days,Rebate Applicable,Guarantee Period Days,Probation Period,Placement Status,Follow-up Date,Candidate Feedback,Client Feedback,Consultant,Notes
PLC-001,CAN-004,JOB-007,CLI-007,Call Centre Agent,Contract,2025-09-28,2025-10-04,2026-10-04,12 months,187,Daily,20.79,18.5,2025-10-04,Paid,30,Yes,30,6 months,Active,2025-12-24,,,Sam Henderson,Candidate settled quickly. Positive feedback from both parties
PLC-002,CAN-009,JOB-006,CLI-001,Full Stack Developer,Permanent,2025-09-24,2025-10-24,N/A,Ongoing,83071,Annual,14952.78,18.0,2025-10-24,Paid,120,No,120,3 months,Rebated,2026-01-08,N/A,N/A,Sam Henderson,Candidate left within rebate period. Full rebate issued to client
PLC-003,CAN-006,JOB-008,CLI-007,Field Sales Manager,Permanent,2025-10-02,2025-10-06,N/A,Ongoing,48121,Annual,8902.39,18.5,2025-10-02,Outstanding,30,Yes,30,3 months,Active,2025-11-17,Happy with the opportunity,"Excellent candidate, performing well",Sam Henderson,Strong hire. Client seeking similar profiles
PLC-004,CAN-004,JOB-007,CLI-007,Call Centre Agent,Contract,2025-09-29,2025-10-02,2026-10-02,12 months,102,Daily,10.41,18.5,2025-10-02,Outstanding,30,Yes,30,6 months,Active,2025-12-20,,"Strong performer, valuable addition",Sam Henderson,Strong hire. Client seeking similar profiles
PLC-005,CAN-006,JOB-007,CLI-007,Call Centre Agent,Contract,2025-10-12,2025-10-21,2026-10-21,12 months,292,Daily,42.37,18.5,2025-10-21,Paid,30,Yes,30,6 months,Active,2025-12-17,Very happy with the role and company culture,,Sam Henderson,Candidate settled quickly. Positive feedback from both parties
PLC-006,CAN-002,JOB-008,CLI-007,Field Sales Manager,Permanent,2025-10-20,2025-10-26,N/A,Ongoing,39675,Annual,7339.88,18.5,2025-10-26,Overdue,30,Yes,30,3 months,Active,2026-01-06,"Good start, adapting to role",Very satisfied with the placement,Sam Henderson,Successful placement. Follow-up scheduled for 1 months
PLC-007,CAN-003,JOB-007,CLI-007,Call Centre Agent,Contract,2025-09-27,2025-10-11,2026-10-11,12 months,226,Daily,25.5,18.5,2025-09-27,Paid,30,No,30,3 months,Rebated,2025-12-21,N/A,N/A,Sam Henderson,Candidate left within rebate period. Full rebate issued to client
PLC-008,CAN-006,JOB-005,CLI-006,Customer Service Advisor,Permanent,2025-09-29,2025-10-06,N/A,Ongoing,26449,Annual,5289.8,20.0,2025-10-06,Overdue,120,Yes,120,3 months,Active,2025-11-20,Very happy with the role and company culture,"Good hire, meeting expectations",Contact Centre Specialist,
PLC-009,CAN-004,JOB-007,CLI-007,Call Centre Agent,Contract,2025-10-08,2025-10-13,2026-10-13,12 months,181,Daily,22.1,18.5,2025-10-13,Overdue,30,Yes,30,3 months,Active,2026-01-09,"Positive feedback, settling in well",Happy with candidate selection,Sam Henderson,Successful placement. Follow-up scheduled for 3 months
PLC-010,CAN-001,JOB-003,CLI-008,Systems Administrator,Permanent,2025-09-27,2025-10-08,2025-10-08,Ongoing,64446,Annual,11922.51,18.5,2025-10-08,Paid,120,Yes,120,6 months,Cancelled,,N/A,N/A,Sam Henderson,Placement cancelled before start date. No fee charged
